"Time","ballet flats","capri pants","kitten heels"
"2025-08-17",14,8,13
"2025-08-24",12,7,10
"2025-08-31",16,5,10
"2025-09-07",13,6,10
"2025-09-14",15,8,14
"2025-09-21",14,5,11
"2025-09-28",16,6,10
"2025-10-05",13,3,12
"2025-10-12",18,4,10
"2025-10-19",13,8,10
"2025-10-26",11,5,8
"2025-11-02",12,10,10
"2025-11-09",18,3,10
"2025-11-16",13,0,12
"2025-11-23",21,0,10
"2025-11-30",14,7,10
"2025-12-07",15,4,8
"2025-12-14",15,0,15
"2025-12-21",13,0,10
"2025-12-28",16,7,10
"2026-01-04",19,5,11
"2026-01-11",21,4,14
"2026-01-18",18,7,11
"2026-01-25",15,5,12
"2026-02-01",13,5,12
"2026-02-08",17,5,10
"2026-02-15",16,0,11
"2026-02-22",36,6,17
"2026-03-01",78,12,25
"2026-03-08",94,19,21
"2026-03-15",80,13,28
"2026-03-22",60,15,27
"2026-03-29",75,16,35
"2026-04-05",59,17,29
"2026-04-12",46,15,27
"2026-04-19",48,14,24
"2026-04-26",29,7,21
"2026-05-03",31,10,22
"2026-05-10",35,13,27
"2026-05-17",63,19,37
"2026-05-24",72,20,40
"2026-05-31",61,18,25
"2026-06-07",63,23,29
"2026-06-14",55,21,25
"2026-06-21",74,20,29
"2026-06-28",78,19,22
"2026-07-05",72,18,22
"2026-07-12",94,22,29
"2026-07-19",100,26,27
"2026-07-26",62,17,26
"2026-08-02",60,17,17
"2026-08-09",30,10,16
"2026-08-16",29,9,16
