"Time","ballet flats","capri pants","kitten heels"
"2025-08-17",29,9,24
"2025-08-24",28,8,21
"2025-08-31",31,8,24
"2025-09-07",33,6,23
"2025-09-14",31,6,21
"2025-09-21",34,6,22
"2025-09-28",34,6,21
"2025-10-05",32,6,23
"2025-10-12",33,5,21
"2025-10-19",32,6,20
"2025-10-26",27,4,17
"2025-11-02",33,7,19
"2025-11-09",35,4,19
"2025-11-16",32,4,21
"2025-11-23",44,4,28
"2025-11-30",31,4,23
"2025-12-07",29,4,21
"2025-12-14",29,3,21
"2025-12-21",35,3,24
"2025-12-28",34,4,26
"2026-01-04",30,5,21
"2026-01-11",29,5,21
"2026-01-18",27,5,20
"2026-01-25",28,5,20
"2026-02-01",27,6,21
"2026-02-08",31,9,21
"2026-02-15",34,9,23
"2026-02-22",34,10,28
"2026-03-01",36,10,28
"2026-03-08",42,13,30
"2026-03-15",41,12,30
"2026-03-22",49,17,33
"2026-03-29",81,21,38
"2026-04-05",95,30,41
"2026-04-12",100,31,41
"2026-04-19",78,25,40
"2026-04-26",57,21,36
"2026-05-03",56,20,39
"2026-05-10",92,26,44
"2026-05-17",95,30,41
"2026-05-24",72,25,40
"2026-05-31",65,25,36
"2026-06-07",67,28,35
"2026-06-14",65,25,30
"2026-06-21",62,23,31
"2026-06-28",52,20,27
"2026-07-05",52,19,29
"2026-07-12",54,18,29
"2026-07-19",55,18,30
"2026-07-26",55,18,30
"2026-08-02",66,15,31
"2026-08-09",72,16,32
"2026-08-16",67,14,30
